locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCKJJHDB_00001	CDS	1368	dnaA			Chromosomal replication initiator protein DnaA
LCKJJHDB_00002	CDS	1143	dnaN		COG0592	Beta sliding clamp
LCKJJHDB_00003	CDS	3300	rexB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
LCKJJHDB_00004	CDS	3612	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
LCKJJHDB_00005	CDS	201				hypothetical protein
LCKJJHDB_00006	CDS	558				hypothetical protein
LCKJJHDB_00007	CDS	1116	ychF		COG0012	Ribosome-binding ATPase YchF
LCKJJHDB_00008	CDS	324	bcrR			HTH-type transcriptional activator BcrR
LCKJJHDB_00009	CDS	345				hypothetical protein
LCKJJHDB_00010	CDS	1992				hypothetical protein
LCKJJHDB_00011	CDS	636	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
LCKJJHDB_00012	CDS	471				hypothetical protein
LCKJJHDB_00013	CDS	567	pth	3.1.1.29		Peptidyl-tRNA hydrolase
LCKJJHDB_00014	CDS	3486	mfd	3.6.4.-		Transcription-repair-coupling factor
LCKJJHDB_00015	CDS	471				hypothetical protein
LCKJJHDB_00016	CDS	318				hypothetical protein
LCKJJHDB_00017	CDS	375				hypothetical protein
LCKJJHDB_00018	CDS	324				hypothetical protein
LCKJJHDB_00019	CDS	1350				hypothetical protein
LCKJJHDB_00020	CDS	1272	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
LCKJJHDB_00021	CDS	552	hpt_1	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
LCKJJHDB_00022	CDS	2088	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
LCKJJHDB_00023	tRNA	74				tRNA-Glu(ttc)
LCKJJHDB_00024	tRNA	90				tRNA-Ser(tga)
LCKJJHDB_00025	tRNA	76				tRNA-Met(cat)
LCKJJHDB_00026	tRNA	75				tRNA-Phe(gaa)
LCKJJHDB_00027	tRNA	73				tRNA-Gly(tcc)
LCKJJHDB_00028	tRNA	76				tRNA-Ile(gat)
LCKJJHDB_00029	rRNA	103				5S ribosomal RNA
LCKJJHDB_00030	tRNA	76				tRNA-Asn(gtt)
LCKJJHDB_00031	CDS	504	mtlA			PTS system mannitol-specific EIICB component
LCKJJHDB_00032	CDS	1302				hypothetical protein
LCKJJHDB_00033	CDS	1938	mtlR			Transcriptional regulator MtlR
LCKJJHDB_00034	CDS	432	mtlF		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
LCKJJHDB_00035	CDS	1158	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
LCKJJHDB_00036	CDS	324				hypothetical protein
LCKJJHDB_00037	CDS	411				hypothetical protein
LCKJJHDB_00038	CDS	444				hypothetical protein
LCKJJHDB_00039	CDS	582				hypothetical protein
