locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNACAJDA_00001	CDS	1023				hypothetical protein
CNACAJDA_00002	CDS	273				hypothetical protein
CNACAJDA_00003	CDS	303	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
CNACAJDA_00004	CDS	1476	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
CNACAJDA_00005	CDS	1467	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
CNACAJDA_00006	CDS	1092				hypothetical protein
CNACAJDA_00007	CDS	570				hypothetical protein
CNACAJDA_00008	CDS	951				hypothetical protein
CNACAJDA_00009	CDS	903	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
CNACAJDA_00010	CDS	432				hypothetical protein
CNACAJDA_00011	CDS	1368	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
CNACAJDA_00012	CDS	1257				hypothetical protein
CNACAJDA_00013	CDS	693	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
CNACAJDA_00014	CDS	1341	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
CNACAJDA_00015	CDS	1062	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
CNACAJDA_00016	CDS	1305				hypothetical protein
CNACAJDA_00017	CDS	729				hypothetical protein
CNACAJDA_00018	CDS	1323				hypothetical protein
CNACAJDA_00019	CDS	504				hypothetical protein
CNACAJDA_00020	tmRNA	417	ssrA			transfer-messenger RNA, SsrA
CNACAJDA_00021	CDS	3111	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
CNACAJDA_00022	CDS	1872				hypothetical protein
CNACAJDA_00023	CDS	744				hypothetical protein
CNACAJDA_00024	CDS	327				hypothetical protein
CNACAJDA_00025	CDS	1080	prfA		COG0216	Peptide chain release factor RF1
CNACAJDA_00026	CDS	873	prmC	2.1.1.297		Release factor glutamine methyltransferase
CNACAJDA_00027	CDS	1347	ffh		COG0541	Signal recognition particle protein
CNACAJDA_00028	CDS	351				hypothetical protein
CNACAJDA_00029	CDS	1059	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
CNACAJDA_00030	CDS	366	rplS		COG0335	50S ribosomal protein L19
CNACAJDA_00031	CDS	654	rnhB	3.1.26.4	COG0164	Ribonuclease HII
CNACAJDA_00032	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
CNACAJDA_00033	CDS	303				hypothetical protein
CNACAJDA_00034	CDS	1653	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
CNACAJDA_00035	CDS	2241	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
CNACAJDA_00036	CDS	1026	ytfF			Inner membrane protein YtfF
CNACAJDA_00037	CDS	774				hypothetical protein
CNACAJDA_00038	CDS	1212				hypothetical protein
CNACAJDA_00039	tRNA	75				tRNA-Asn(gtt)
CNACAJDA_00040	CDS	345				hypothetical protein
CNACAJDA_00041	CDS	573	dcd	3.5.4.13		dCTP deaminase
CNACAJDA_00042	CDS	1005	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
CNACAJDA_00043	CDS	813				hypothetical protein
CNACAJDA_00044	CDS	2001	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
CNACAJDA_00045	CDS	504				hypothetical protein
CNACAJDA_00046	CDS	474				Single-stranded DNA-binding protein
CNACAJDA_00047	CDS	1500	pepA	3.4.11.1	COG0260	putative cytosol aminopeptidase
CNACAJDA_00048	CDS	606	hctB			Histone-like protein HC2
CNACAJDA_00049	CDS	945				hypothetical protein
CNACAJDA_00050	CDS	714	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
CNACAJDA_00051	CDS	1473				hypothetical protein
CNACAJDA_00052	CDS	1611				hypothetical protein
CNACAJDA_00053	CDS	1563				hypothetical protein
CNACAJDA_00054	CDS	1137	hemW		COG0635	Heme chaperone HemW
CNACAJDA_00055	CDS	447				hypothetical protein
CNACAJDA_00056	CDS	2718	kgd	2.2.1.5	COG0508	Multifunctional 2-oxoglutarate metabolism enzyme
CNACAJDA_00057	CDS	1098	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
CNACAJDA_00058	CDS	732				hypothetical protein
CNACAJDA_00059	CDS	1809	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
CNACAJDA_00060	CDS	1104				hypothetical protein
CNACAJDA_00061	CDS	276				hypothetical protein
CNACAJDA_00062	tRNA	77				tRNA-Pro(tgg)
