locus_tag	ftype	length_bp	gene	EC_number	COG	product
AFMNAGNA_00001	CDS	1395	dnaA		COG0593	Chromosomal replication initiator protein DnaA
AFMNAGNA_00002	CDS	1116	dnaN		COG0592	Beta sliding clamp
AFMNAGNA_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
AFMNAGNA_00004	CDS	480				putative protein
AFMNAGNA_00005	CDS	2442	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
AFMNAGNA_00006	CDS	243				hypothetical protein
AFMNAGNA_00007	CDS	612				hypothetical protein
AFMNAGNA_00008	CDS	264				hypothetical protein
AFMNAGNA_00009	CDS	1050				hypothetical protein
AFMNAGNA_00010	CDS	762				hypothetical protein
AFMNAGNA_00011	CDS	1983				hypothetical protein
AFMNAGNA_00012	CDS	666				hypothetical protein
AFMNAGNA_00013	CDS	501				hypothetical protein
AFMNAGNA_00014	CDS	1815				hypothetical protein
AFMNAGNA_00015	CDS	2559				hypothetical protein
AFMNAGNA_00016	CDS	948				hypothetical protein
AFMNAGNA_00017	CDS	1974				hypothetical protein
AFMNAGNA_00018	CDS	636	greA			Transcription elongation factor GreA
AFMNAGNA_00019	CDS	2109				hypothetical protein
AFMNAGNA_00020	tRNA	88				tRNA-Ser(gga)
AFMNAGNA_00021	tRNA	89				tRNA-Ser(cga)
AFMNAGNA_00022	tRNA	76				tRNA-Arg(gcg)
AFMNAGNA_00023	tRNA	89				tRNA-Ser(gct)
AFMNAGNA_00024	tRNA	86				tRNA-Ser(tga)
AFMNAGNA_00025	CDS	267				hypothetical protein
AFMNAGNA_00026	CDS	2169				hypothetical protein
AFMNAGNA_00027	CDS	1332				hypothetical protein
AFMNAGNA_00028	CDS	711	ktrA_1		COG0569	Ktr system potassium uptake protein A
AFMNAGNA_00029	CDS	3072				hypothetical protein
AFMNAGNA_00030	CDS	1023	fliG_1		COG1536	Flagellar motor switch protein FliG
AFMNAGNA_00031	CDS	1326				hypothetical protein
AFMNAGNA_00032	CDS	1362				hypothetical protein
AFMNAGNA_00033	CDS	1365	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
AFMNAGNA_00034	CDS	1635	groL		COG0459	60 kDa chaperonin
AFMNAGNA_00035	CDS	279				hypothetical protein
AFMNAGNA_00036	CDS	801				hypothetical protein
AFMNAGNA_00037	CDS	612				hypothetical protein
