locus_tag	ftype	length_bp	gene	EC_number	COG	product
GBJEOBOH_00001	CDS	2100	fusA		COG0480	Elongation factor G
GBJEOBOH_00002	CDS	1218	tuf_1		COG0050	Elongation factor Tu
GBJEOBOH_00003	CDS	315	rpsJ		COG0051	30S ribosomal protein S10
GBJEOBOH_00004	CDS	726	rplC		COG0087	50S ribosomal protein L3
GBJEOBOH_00005	CDS	600	rplD		COG0088	50S ribosomal protein L4
GBJEOBOH_00006	CDS	312	rplW		COG0089	50S ribosomal protein L23
GBJEOBOH_00007	CDS	915	rplB		COG0090	50S ribosomal protein L2
GBJEOBOH_00008	CDS	660				hypothetical protein
GBJEOBOH_00009	CDS	297	rplV		COG0091	50S ribosomal protein L22
GBJEOBOH_00010	CDS	639	rpsC		COG0092	30S ribosomal protein S3
GBJEOBOH_00011	CDS	429	rplP		COG0197	50S ribosomal protein L16
GBJEOBOH_00012	CDS	222				hypothetical protein
GBJEOBOH_00013	CDS	324				hypothetical protein
GBJEOBOH_00014	CDS	660	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
GBJEOBOH_00015	CDS	516				hypothetical protein
GBJEOBOH_00016	CDS	1131	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
GBJEOBOH_00017	CDS	1314	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
GBJEOBOH_00018	CDS	234				hypothetical protein
GBJEOBOH_00019	CDS	1119	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
GBJEOBOH_00020	CDS	210				hypothetical protein
GBJEOBOH_00021	CDS	483				hypothetical protein
GBJEOBOH_00022	CDS	1779				hypothetical protein
GBJEOBOH_00023	CDS	480				hypothetical protein
GBJEOBOH_00024	CDS	1209	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
GBJEOBOH_00025	CDS	1341	sdcS			Sodium-dependent dicarboxylate transporter SdcS
GBJEOBOH_00026	CDS	1443	rtcB	6.5.1.-		RNA-splicing ligase RtcB
GBJEOBOH_00027	CDS	1296				hypothetical protein
GBJEOBOH_00028	CDS	507	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
GBJEOBOH_00029	CDS	528				hypothetical protein
GBJEOBOH_00030	CDS	867	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
GBJEOBOH_00031	CDS	579	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
GBJEOBOH_00032	CDS	1281				hypothetical protein
GBJEOBOH_00033	CDS	312				hypothetical protein
GBJEOBOH_00034	CDS	723				hypothetical protein
GBJEOBOH_00035	CDS	1230	fbcH		COG1290	Cytochrome b/c1
GBJEOBOH_00036	CDS	546	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
GBJEOBOH_00037	CDS	921	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
GBJEOBOH_00038	CDS	300		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
GBJEOBOH_00039	CDS	2430	bamA_1			Outer membrane protein assembly factor BamA
GBJEOBOH_00040	CDS	855	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
GBJEOBOH_00041	CDS	1080	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
GBJEOBOH_00042	CDS	576			COG4752	putative protein
GBJEOBOH_00043	CDS	759	ccsA_1			Cytochrome c biogenesis protein CcsA
GBJEOBOH_00044	CDS	453	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
GBJEOBOH_00045	CDS	627	sfsA		COG1489	Sugar fermentation stimulation protein A
GBJEOBOH_00046	CDS	108				hypothetical protein
GBJEOBOH_00047	CDS	351				hypothetical protein
GBJEOBOH_00048	CDS	114				hypothetical protein
GBJEOBOH_00049	CDS	504			COG1926	Putative phosphoribosyl transferase
GBJEOBOH_00050	CDS	537	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
GBJEOBOH_00051	CDS	843	speE_1	2.5.1.16	COG0421	Polyamine aminopropyltransferase
GBJEOBOH_00052	CDS	342	rpsF		COG0360	30S ribosomal protein S6
GBJEOBOH_00053	CDS	444				Single-stranded DNA-binding protein
GBJEOBOH_00054	CDS	219	rpsR2		COG0238	30S ribosomal protein S18 2
GBJEOBOH_00055	CDS	180	tatAy			Sec-independent protein translocase protein TatAy
GBJEOBOH_00056	CDS	234	tatA			Sec-independent protein translocase protein TatA
GBJEOBOH_00057	CDS	894	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
GBJEOBOH_00058	CDS	969				hypothetical protein
GBJEOBOH_00059	CDS	513	dmsB		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GBJEOBOH_00060	CDS	237				hypothetical protein
GBJEOBOH_00061	CDS	357	rplQ		COG0203	50S ribosomal protein L17
GBJEOBOH_00062	CDS	954	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
GBJEOBOH_00063	CDS	636	rpsD		COG0522	30S ribosomal protein S4
GBJEOBOH_00064	CDS	378	rpsK			30S ribosomal protein S11
GBJEOBOH_00065	CDS	381	rpsM		COG0099	30S ribosomal protein S13
GBJEOBOH_00066	CDS	150				hypothetical protein
GBJEOBOH_00067	CDS	243	infA		COG0361	Translation initiation factor IF-1
GBJEOBOH_00068	CDS	777	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
GBJEOBOH_00069	CDS	621	adk	2.7.4.3	COG0563	Adenylate kinase
GBJEOBOH_00070	CDS	1290	secY		COG0201	Protein translocase subunit SecY
GBJEOBOH_00071	CDS	210	rpmB		COG0227	50S ribosomal protein L28
GBJEOBOH_00072	CDS	1197	aroC	4.2.3.5	COG0082	Chorismate synthase
GBJEOBOH_00073	CDS	603				hypothetical protein
GBJEOBOH_00074	CDS	1017				hypothetical protein
GBJEOBOH_00075	CDS	243				hypothetical protein
GBJEOBOH_00076	CDS	804	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
GBJEOBOH_00077	CDS	663	cysW		COG4208	Sulfate transport system permease protein CysW
GBJEOBOH_00078	CDS	342				hypothetical protein
GBJEOBOH_00079	CDS	336				hypothetical protein
GBJEOBOH_00080	CDS	393				hypothetical protein
GBJEOBOH_00081	CDS	897	norR			Anaerobic nitric oxide reductase transcription regulator NorR
GBJEOBOH_00082	CDS	633	atoC_1		COG2204	Regulatory protein AtoC
GBJEOBOH_00083	CDS	2406	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
GBJEOBOH_00084	CDS	1224				hypothetical protein
GBJEOBOH_00085	CDS	303	secG			Protein-export membrane protein SecG
GBJEOBOH_00086	CDS	837	prmC	2.1.1.297		Release factor glutamine methyltransferase
GBJEOBOH_00087	CDS	1251				hypothetical protein
GBJEOBOH_00088	CDS	741	yafV	3.5.1.3		Omega-amidase YafV
GBJEOBOH_00089	CDS	1113	kmo_1	1.14.13.9		Kynurenine 3-monooxygenase
GBJEOBOH_00090	CDS	324	rbfA			Ribosome-binding factor A
GBJEOBOH_00091	CDS	354				hypothetical protein
GBJEOBOH_00092	CDS	141	fdx4_1		COG3411	Ferredoxin, 2Fe-2S
GBJEOBOH_00093	CDS	198	fdx4_2		COG3411	Ferredoxin, 2Fe-2S
GBJEOBOH_00094	CDS	243	hfq_1		COG1923	RNA-binding protein Hfq
GBJEOBOH_00095	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
GBJEOBOH_00096	CDS	1410	glnA	6.3.1.2		Glutamine synthetase
GBJEOBOH_00097	CDS	1272	amt			Ammonia channel
GBJEOBOH_00098	CDS	1047				hypothetical protein
GBJEOBOH_00099	CDS	252				hypothetical protein
GBJEOBOH_00100	CDS	441				hypothetical protein
GBJEOBOH_00101	CDS	321				hypothetical protein
GBJEOBOH_00102	CDS	1563	napA	1.9.6.1		Periplasmic nitrate reductase
GBJEOBOH_00103	CDS	1194	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
GBJEOBOH_00104	CDS	654	tal	2.2.1.2	COG0176	Transaldolase
GBJEOBOH_00105	CDS	1029	kmo_2	1.14.13.9		Kynurenine 3-monooxygenase
GBJEOBOH_00106	CDS	1212	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
GBJEOBOH_00107	CDS	339	rpsP		COG0228	30S ribosomal protein S16
GBJEOBOH_00108	CDS	240				hypothetical protein
GBJEOBOH_00109	CDS	399				hypothetical protein
GBJEOBOH_00110	CDS	444				hypothetical protein
GBJEOBOH_00111	CDS	819				hypothetical protein
GBJEOBOH_00112	CDS	1419	yeeO		COG0534	putative FMN/FAD exporter YeeO
GBJEOBOH_00113	CDS	465	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
GBJEOBOH_00114	CDS	447	nusB		COG0781	Transcription antitermination protein NusB
GBJEOBOH_00115	CDS	228				hypothetical protein
GBJEOBOH_00116	CDS	456				hypothetical protein
GBJEOBOH_00117	CDS	948	hldD_1	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
GBJEOBOH_00118	CDS	1068	ccpA	1.11.1.5	COG1858	Cytochrome c551 peroxidase
GBJEOBOH_00119	CDS	1071	ribD		COG0117	Riboflavin biosynthesis protein RibD
GBJEOBOH_00120	CDS	945	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
GBJEOBOH_00121	CDS	366		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
GBJEOBOH_00122	CDS	231				hypothetical protein
GBJEOBOH_00123	CDS	441				hypothetical protein
GBJEOBOH_00124	CDS	954	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
GBJEOBOH_00125	CDS	879	yciC		COG0523	Putative metal chaperone YciC
GBJEOBOH_00126	CDS	660	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
GBJEOBOH_00127	CDS	780	mmgD	2.3.3.-	COG0372	Citrate/2-methylcitrate synthase
GBJEOBOH_00128	CDS	441	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
GBJEOBOH_00129	CDS	225				hypothetical protein
GBJEOBOH_00130	CDS	891	ctaA	1.3.-.-		Heme A synthase
GBJEOBOH_00131	CDS	879	ctaB2	2.5.1.141	COG0109	Protoheme IX farnesyltransferase 2
GBJEOBOH_00132	CDS	1161				hypothetical protein
GBJEOBOH_00133	CDS	117				hypothetical protein
GBJEOBOH_00134	CDS	399				hypothetical protein
GBJEOBOH_00135	CDS	477				hypothetical protein
GBJEOBOH_00136	CDS	405	mutT4	3.6.1.-	COG0494	Putative mutator protein MutT4
GBJEOBOH_00137	CDS	549				hypothetical protein
GBJEOBOH_00138	CDS	168				hypothetical protein
GBJEOBOH_00139	CDS	483	sulD		COG0801	Bifunctional folate synthesis protein
GBJEOBOH_00140	CDS	1329	atoC_2		COG2204	Regulatory protein AtoC
