locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPJMNOPJ_00001	CDS	645	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
HPJMNOPJ_00002	CDS	2277	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
HPJMNOPJ_00003	CDS	699	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
HPJMNOPJ_00004	CDS	1197	bcr_1			Bicyclomycin resistance protein
HPJMNOPJ_00005	CDS	684	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
HPJMNOPJ_00006	CDS	666	ccmB		COG2386	Heme exporter protein B
HPJMNOPJ_00007	CDS	741	ccmC		COG0755	Heme exporter protein C
HPJMNOPJ_00008	CDS	204				hypothetical protein
HPJMNOPJ_00009	CDS	540	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
HPJMNOPJ_00010	CDS	1956	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
HPJMNOPJ_00011	CDS	546	dsbE_1		COG0526	Thiol:disulfide interchange protein DsbE
HPJMNOPJ_00012	CDS	465				hypothetical protein
HPJMNOPJ_00013	CDS	915				hypothetical protein
HPJMNOPJ_00014	CDS	405				hypothetical protein
HPJMNOPJ_00015	CDS	624				hypothetical protein
HPJMNOPJ_00016	CDS	303				hypothetical protein
HPJMNOPJ_00017	CDS	702	hda		COG0593	DnaA regulatory inactivator Hda
HPJMNOPJ_00018	CDS	1254	pyrP			Uracil permease
HPJMNOPJ_00019	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
HPJMNOPJ_00020	CDS	642	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
HPJMNOPJ_00021	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
HPJMNOPJ_00022	CDS	477	pe			Surface-adhesin protein E
HPJMNOPJ_00023	CDS	102				hypothetical protein
HPJMNOPJ_00024	CDS	1479	nrfA	1.7.2.2	COG3303	Cytochrome c-552
HPJMNOPJ_00025	CDS	648	nrfB			Cytochrome c-type protein NrfB
HPJMNOPJ_00026	CDS	681	ydhX		COG0437	putative ferredoxin-like protein YdhX
HPJMNOPJ_00027	CDS	960				hypothetical protein
HPJMNOPJ_00028	CDS	1926	ccmF_2		COG1138	Cytochrome c-type biogenesis protein CcmF
HPJMNOPJ_00029	CDS	567	dsbE_2		COG0526	Thiol:disulfide interchange protein DsbE
HPJMNOPJ_00030	CDS	486	ccmH		COG3088	Cytochrome c-type biogenesis protein CcmH
HPJMNOPJ_00031	CDS	837				hypothetical protein
HPJMNOPJ_00032	CDS	1224			COG2081	putative protein
HPJMNOPJ_00033	CDS	1455	katA	1.11.1.6	COG0753	Catalase
HPJMNOPJ_00034	CDS	537				hypothetical protein
HPJMNOPJ_00035	CDS	3480	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
HPJMNOPJ_00036	CDS	567				hypothetical protein
HPJMNOPJ_00037	CDS	1368	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
HPJMNOPJ_00038	CDS	1242	sdaC		COG0814	Serine transporter
HPJMNOPJ_00039	CDS	828	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
HPJMNOPJ_00040	CDS	984	rbn	3.1.26.11		Ribonuclease BN
HPJMNOPJ_00041	CDS	2184	btuB_1			Vitamin B12 transporter BtuB
HPJMNOPJ_00042	CDS	1695	yddA		COG4178	Inner membrane ABC transporter ATP-binding protein YddA
HPJMNOPJ_00043	CDS	555	hutZ_1	1.14.99.58	COG0748	Heme oxygenase HutZ
HPJMNOPJ_00044	CDS	1350	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
HPJMNOPJ_00045	CDS	627				hypothetical protein
HPJMNOPJ_00046	CDS	1479	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
HPJMNOPJ_00047	CDS	147				hypothetical protein
HPJMNOPJ_00048	CDS	537	dsbB		COG1495	Disulfide bond formation protein B
HPJMNOPJ_00049	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
HPJMNOPJ_00050	CDS	726	fadR		COG2186	Fatty acid metabolism regulator protein
HPJMNOPJ_00051	CDS	1038	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
HPJMNOPJ_00052	CDS	1659				hypothetical protein
HPJMNOPJ_00053	CDS	1014	futA1			Iron uptake protein A1
HPJMNOPJ_00054	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
HPJMNOPJ_00055	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
HPJMNOPJ_00056	CDS	1707	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
HPJMNOPJ_00057	CDS	744	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HPJMNOPJ_00058	CDS	1731	fhaC_1		COG2831	Filamentous hemagglutinin transporter protein FhaC
HPJMNOPJ_00059	CDS	7848	ibpA			Protein adenylyltransferase and cysteine protease IbpA
HPJMNOPJ_00060	CDS	111	era_1		COG1159	GTPase Era
HPJMNOPJ_00061	CDS	198				hypothetical protein
HPJMNOPJ_00062	CDS	1722	fhaC_2		COG2831	Filamentous hemagglutinin transporter protein FhaC
HPJMNOPJ_00063	CDS	11760				hypothetical protein
HPJMNOPJ_00064	CDS	921	era_2		COG1159	GTPase Era
HPJMNOPJ_00065	CDS	678	rnc	3.1.26.3	COG0571	Ribonuclease 3
