locus_tag	ftype	length_bp	gene	EC_number	COG	product
JCFPBPPM_00001	CDS	999	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
JCFPBPPM_00002	CDS	1404	nqrA	7.2.1.1	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
JCFPBPPM_00003	CDS	444				hypothetical protein
JCFPBPPM_00004	tRNA	75				tRNA-Ala(ggc)
JCFPBPPM_00005	CDS	1188	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
JCFPBPPM_00006	CDS	1014				hypothetical protein
JCFPBPPM_00007	CDS	3153	recB	3.1.11.5		RecBCD enzyme subunit RecB
JCFPBPPM_00008	CDS	2886	recC	3.1.11.5		RecBCD enzyme subunit RecC
JCFPBPPM_00009	CDS	1698	lplT			Lysophospholipid transporter LplT
JCFPBPPM_00010	CDS	669	udk	2.7.1.48		Uridine kinase
JCFPBPPM_00011	CDS	975				hypothetical protein
JCFPBPPM_00012	CDS	630	rpsD			30S ribosomal protein S4
JCFPBPPM_00013	CDS	882	nfo	3.1.21.2	COG0648	Endonuclease 4
JCFPBPPM_00014	CDS	1644	murJ			lipid II flippase MurJ
JCFPBPPM_00015	CDS	1269				hypothetical protein
JCFPBPPM_00016	CDS	1956				hypothetical protein
JCFPBPPM_00017	CDS	2619				hypothetical protein
JCFPBPPM_00018	CDS	2496				hypothetical protein
JCFPBPPM_00019	CDS	228				hypothetical protein
JCFPBPPM_00020	CDS	825				hypothetical protein
JCFPBPPM_00021	CDS	723	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
JCFPBPPM_00022	CDS	489				hypothetical protein
JCFPBPPM_00023	CDS	810	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
JCFPBPPM_00024	tRNA	73				tRNA-Arg(tct)
JCFPBPPM_00025	CDS	237				hypothetical protein
JCFPBPPM_00026	CDS	978	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
JCFPBPPM_00027	CDS	321				hypothetical protein
JCFPBPPM_00028	CDS	300				hypothetical protein
JCFPBPPM_00029	CDS	1437	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
JCFPBPPM_00030	CDS	1809	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
JCFPBPPM_00031	CDS	1020	hemA	1.2.1.70		Glutamyl-tRNA reductase
JCFPBPPM_00032	CDS	393				hypothetical protein
JCFPBPPM_00033	CDS	2538				hypothetical protein
JCFPBPPM_00034	CDS	249				hypothetical protein
JCFPBPPM_00035	CDS	255				putative protein CT_666
