locus_tag	ftype	length_bp	gene	EC_number	COG	product
NLDHCKDF_00001	CDS	1179	dnaN		COG0592	Beta sliding clamp
NLDHCKDF_00002	CDS	1365	dnaA		COG0593	Chromosomal replication initiator protein DnaA
NLDHCKDF_00003	CDS	696				hypothetical protein
NLDHCKDF_00004	CDS	1044	nudC_1	3.6.1.22		NADH pyrophosphatase
NLDHCKDF_00005	CDS	729				hypothetical protein
NLDHCKDF_00006	CDS	684				hypothetical protein
NLDHCKDF_00007	CDS	804	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
NLDHCKDF_00008	CDS	1041				hypothetical protein
NLDHCKDF_00009	CDS	1359				hypothetical protein
NLDHCKDF_00010	CDS	1185			COG3385	IS4 family transposase ISDra7
NLDHCKDF_00011	CDS	882	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
NLDHCKDF_00012	CDS	867	spo0C		COG1475	Chromosome-partitioning protein Spo0J
NLDHCKDF_00013	CDS	750	soj_1	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
NLDHCKDF_00014	CDS	762	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
NLDHCKDF_00015	CDS	330				hypothetical protein
NLDHCKDF_00016	CDS	741	sir2	2.3.1.286	COG0846	NAD-dependent protein deacylase Sir2
NLDHCKDF_00017	CDS	411				hypothetical protein
NLDHCKDF_00018	CDS	603				hypothetical protein
NLDHCKDF_00019	CDS	882				hypothetical protein
NLDHCKDF_00020	CDS	1386	rnr_1	3.1.13.1		Ribonuclease R
NLDHCKDF_00021	CDS	267				hypothetical protein
NLDHCKDF_00022	CDS	417				hypothetical protein
NLDHCKDF_00023	tRNA	76				tRNA-Phe(gaa)
NLDHCKDF_00024	tRNA	76				tRNA-Asp(gtc)
NLDHCKDF_00025	CDS	486	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
NLDHCKDF_00026	CDS	1113	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
NLDHCKDF_00027	CDS	1200				hypothetical protein
NLDHCKDF_00028	CDS	810	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
NLDHCKDF_00029	CDS	1803	mnmG_1			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
NLDHCKDF_00030	CDS	1599	sufS	4.4.1.16		Cysteine desulfurase
NLDHCKDF_00031	CDS	1107		1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
NLDHCKDF_00032	CDS	1035		1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
NLDHCKDF_00033	CDS	243				hypothetical protein
NLDHCKDF_00034	CDS	1578	pdhC	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
NLDHCKDF_00035	CDS	390	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
NLDHCKDF_00036	CDS	330				hypothetical protein
NLDHCKDF_00037	CDS	1218	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
NLDHCKDF_00038	CDS	579	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
NLDHCKDF_00039	CDS	570				hypothetical protein
