locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCFEBHJJ_00001	CDS	417	nusB		COG0781	Transcription antitermination protein NusB
GCFEBHJJ_00002	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
GCFEBHJJ_00003	CDS	831	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
GCFEBHJJ_00004	CDS	666	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
GCFEBHJJ_00005	CDS	684	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
GCFEBHJJ_00006	CDS	831	panC	6.3.2.1	COG0414	Pantothenate synthetase
GCFEBHJJ_00007	tRNA	76				tRNA-Glu(ttc)
GCFEBHJJ_00008	tRNA	77				tRNA-Asp(gtc)
GCFEBHJJ_00009	tRNA	76				tRNA-Val(tac)
GCFEBHJJ_00010	tRNA	75				tRNA-Glu(ttc)
GCFEBHJJ_00011	tRNA	76				tRNA-Lys(ttt)
GCFEBHJJ_00012	CDS	1905				hypothetical protein
GCFEBHJJ_00013	CDS	1641	groL		COG0459	60 kDa chaperonin
GCFEBHJJ_00014	CDS	357	groS		COG0234	10 kDa chaperonin
GCFEBHJJ_00015	CDS	1680	dnaG	2.7.7.-	COG0358	DNA primase
GCFEBHJJ_00016	CDS	1053	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
GCFEBHJJ_00017	CDS	828				hypothetical protein
GCFEBHJJ_00018	CDS	282				hypothetical protein
GCFEBHJJ_00019	CDS	264				hypothetical protein
GCFEBHJJ_00020	CDS	2364	virB4_1		COG3451	Type IV secretion system protein virB4
GCFEBHJJ_00021	CDS	1341				hypothetical protein
GCFEBHJJ_00022	CDS	966	cheV_1		COG0784	Chemotaxis protein CheV
GCFEBHJJ_00023	CDS	1218	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
GCFEBHJJ_00024	CDS	573	lpxE	3.1.-.-	COG0671	Lipid A 1-phosphatase
GCFEBHJJ_00025	CDS	1566	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
GCFEBHJJ_00026	CDS	2136				hypothetical protein
GCFEBHJJ_00027	CDS	1281	gltA	2.3.3.16	COG0372	Citrate synthase
GCFEBHJJ_00028	CDS	1278	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
GCFEBHJJ_00029	CDS	528				hypothetical protein
GCFEBHJJ_00030	CDS	657	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
GCFEBHJJ_00031	CDS	1782				hypothetical protein
GCFEBHJJ_00032	CDS	414				hypothetical protein
GCFEBHJJ_00033	CDS	276	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
GCFEBHJJ_00034	CDS	2226	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
GCFEBHJJ_00035	CDS	354	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
GCFEBHJJ_00036	CDS	294			COG0718	Nucleoid-associated protein
GCFEBHJJ_00037	CDS	1005				hypothetical protein
GCFEBHJJ_00038	CDS	1056				hypothetical protein
GCFEBHJJ_00039	CDS	93				hypothetical protein
GCFEBHJJ_00040	CDS	738				hypothetical protein
GCFEBHJJ_00041	CDS	270				hypothetical protein
GCFEBHJJ_00042	CDS	744				hypothetical protein
GCFEBHJJ_00043	CDS	372				hypothetical protein
GCFEBHJJ_00044	CDS	702				hypothetical protein
GCFEBHJJ_00045	CDS	1413	algA		COG0662	Alginate biosynthesis protein AlgA
GCFEBHJJ_00046	CDS	1146	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
GCFEBHJJ_00047	CDS	933	colC	1.1.1.356		GDP-L-colitose synthase
GCFEBHJJ_00048	CDS	999	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
GCFEBHJJ_00049	CDS	2274	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
