locus_tag	ftype	length_bp	gene	EC_number	COG	product
DOCPLECE_00001	CDS	417	nusB		COG0781	Transcription antitermination protein NusB
DOCPLECE_00002	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
DOCPLECE_00003	CDS	831	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
DOCPLECE_00004	CDS	666	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
DOCPLECE_00005	CDS	684	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
DOCPLECE_00006	CDS	831	panC	6.3.2.1	COG0414	Pantothenate synthetase
DOCPLECE_00007	tRNA	76				tRNA-Glu(ttc)
DOCPLECE_00008	tRNA	77				tRNA-Asp(gtc)
DOCPLECE_00009	tRNA	76				tRNA-Val(tac)
DOCPLECE_00010	tRNA	75				tRNA-Glu(ttc)
DOCPLECE_00011	tRNA	76				tRNA-Lys(ttt)
DOCPLECE_00012	CDS	1902				hypothetical protein
DOCPLECE_00013	CDS	1641	groL		COG0459	60 kDa chaperonin
DOCPLECE_00014	CDS	357	groS		COG0234	10 kDa chaperonin
DOCPLECE_00015	CDS	1680	dnaG	2.7.7.-	COG0358	DNA primase
DOCPLECE_00016	CDS	1053	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
DOCPLECE_00017	CDS	828				hypothetical protein
DOCPLECE_00018	CDS	282				hypothetical protein
DOCPLECE_00019	CDS	264				hypothetical protein
DOCPLECE_00020	CDS	2364	virB4_1		COG3451	Type IV secretion system protein virB4
DOCPLECE_00021	CDS	1341				hypothetical protein
DOCPLECE_00022	CDS	966	cheV_1		COG0784	Chemotaxis protein CheV
DOCPLECE_00023	CDS	1218	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
DOCPLECE_00024	CDS	576	lpxE	3.1.-.-	COG0671	Lipid A 1-phosphatase
DOCPLECE_00025	CDS	1572	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
DOCPLECE_00026	CDS	2073				hypothetical protein
DOCPLECE_00027	CDS	1281	gltA	2.3.3.16	COG0372	Citrate synthase
DOCPLECE_00028	CDS	1278	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
DOCPLECE_00029	CDS	528				hypothetical protein
DOCPLECE_00030	CDS	657	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
DOCPLECE_00031	CDS	1698				hypothetical protein
DOCPLECE_00032	CDS	414				hypothetical protein
DOCPLECE_00033	CDS	243	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
DOCPLECE_00034	CDS	2229	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
DOCPLECE_00035	CDS	354	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
DOCPLECE_00036	CDS	303			COG0718	Nucleoid-associated protein
DOCPLECE_00037	CDS	1005				hypothetical protein
DOCPLECE_00038	CDS	1056				hypothetical protein
