locus_tag	ftype	length_bp	gene	EC_number	COG	product
	repeat_region	2694				
PCMIPHHC_00001	CDS	1953				hypothetical protein
PCMIPHHC_00002	CDS	1038		5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
PCMIPHHC_00003	CDS	1317				hypothetical protein
PCMIPHHC_00004	CDS	675	kynB	3.5.1.9	COG1878	Kynurenine formamidase
PCMIPHHC_00005	CDS	429				hypothetical protein
PCMIPHHC_00006	CDS	1824	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
PCMIPHHC_00007	CDS	381	hndB	1.12.1.3	COG3411	NADP-reducing hydrogenase subunit HndB
PCMIPHHC_00008	CDS	489	hndA_1	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
PCMIPHHC_00009	CDS	762				hypothetical protein
PCMIPHHC_00010	CDS	837				hypothetical protein
PCMIPHHC_00011	CDS	579	porC	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
PCMIPHHC_00012	CDS	300	porD		COG1144	Pyruvate synthase subunit PorD
PCMIPHHC_00013	CDS	1179	porA	1.2.7.1	COG0674	Pyruvate synthase subunit PorA
PCMIPHHC_00014	CDS	975	porB	1.2.7.1	COG1013	Pyruvate synthase subunit PorB
PCMIPHHC_00015	CDS	771	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
PCMIPHHC_00016	CDS	384	crcB			Putative fluoride ion transporter CrcB
PCMIPHHC_00017	CDS	309				hypothetical protein
PCMIPHHC_00018	CDS	1533	mutL			DNA mismatch repair protein MutL
PCMIPHHC_00019	CDS	1971	mcp1_1		COG0840	Methyl-accepting chemotaxis protein 1
PCMIPHHC_00020	CDS	1926				hypothetical protein
PCMIPHHC_00021	CDS	2166	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
PCMIPHHC_00022	CDS	207				hypothetical protein
PCMIPHHC_00023	CDS	807	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
PCMIPHHC_00024	CDS	993	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
PCMIPHHC_00025	CDS	843	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
PCMIPHHC_00026	CDS	1017	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
PCMIPHHC_00027	CDS	1815	oppA		COG4166	Periplasmic oligopeptide-binding protein
PCMIPHHC_00028	CDS	1146	nagC_1		COG1940	N-acetylglucosamine repressor
PCMIPHHC_00029	CDS	1188				hypothetical protein
PCMIPHHC_00030	CDS	1074	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PCMIPHHC_00031	CDS	1341				hypothetical protein
PCMIPHHC_00032	CDS	525		3.6.1.15	COG1618	Nucleoside-triphosphatase THEP1
PCMIPHHC_00033	CDS	1251		3.1.4.-	COG2206	3'3'-cGAMP-specific phosphodiesterase 1
PCMIPHHC_00034	CDS	363	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
PCMIPHHC_00035	CDS	780	folE2	3.5.4.16	COG1469	GTP cyclohydrolase FolE2
PCMIPHHC_00036	CDS	837	folP	2.5.1.15	COG0294	Dihydropteroate synthase
PCMIPHHC_00037	CDS	390	sulD		COG0801	Bifunctional folate synthesis protein
PCMIPHHC_00038	CDS	1080	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
PCMIPHHC_00039	CDS	1740			COG1132	putative ABC transporter ATP-binding protein
PCMIPHHC_00040	CDS	549				hypothetical protein
PCMIPHHC_00041	CDS	219				hypothetical protein
PCMIPHHC_00042	CDS	1218				hypothetical protein
PCMIPHHC_00043	CDS	705	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PCMIPHHC_00044	CDS	465				hypothetical protein
PCMIPHHC_00045	CDS	2010	feoB		COG0370	Fe(2+) transporter FeoB
PCMIPHHC_00046	CDS	333				hypothetical protein
PCMIPHHC_00047	CDS	1095				hypothetical protein
PCMIPHHC_00048	CDS	591				hypothetical protein
PCMIPHHC_00049	CDS	2025	aguA	3.2.1.131	COG3661	Xylan alpha-(1->2)-glucuronosidase
PCMIPHHC_00050	CDS	1974	agpA_1			Periplasmic alpha-galactoside-binding protein
PCMIPHHC_00051	CDS	1017	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PCMIPHHC_00052	CDS	996	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
PCMIPHHC_00053	CDS	1089				hypothetical protein
PCMIPHHC_00054	CDS	987	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
PCMIPHHC_00055	CDS	3180	xynA	3.2.1.8	COG3693	Endo-1,4-beta-xylanase A
